global_order	class_order	row_id	lexical_item	counterpart	proto	proto_stage	protoform	protoform_stage	derivation_class	class_bucket	section_title	model_entry_path	trace_match_status	trace_match_basis	notes
11	11	1975	calf	ċealf	*kálbaz	pgmc	*kálbaz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1975-calf-ċealf.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
12	12	1979	corn	corn	*kúrną	pgmc	*kúrną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1979-corn-corn.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
13	13	1987	deed	dǣd	*dḗdiz	pgmc	*dḗdiz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1987-deed-dǣd.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
14	14	1992	door	dor	*dúrą	pgmc	*dúrą	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/1992-door-dor.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
15	15	2003	fare	faran	*fáraną	pgmc	*fáraną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2003-fare-faran.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
16	16	2007	fell	fell	*féllą	pgmc	*féllą	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2007-fell-fell.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
17	17	2008	fern	fearn	*fárnaz	pgmc	*fárnaz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2008-fern-fearn.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
18	18	2009	field	feld	*félθuz	pgmc	*félθuz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2009-field-feld.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
19	19	2022	fly	flēogan	*fléuganą	pgmc	*fléuganą	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2022-fly-flēogan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
20	20	2028	forlorn	lēosan	*léusaną	pgmc	*léusaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2028-forlorn-lēosan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
21	21	2038	gang	gang	*gángaz	pgmc	*gángaz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2038-gang-gang.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
22	22	2041	give	ġiefan	*gébaną	pgmc	*gébaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2041-give-ġiefan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
23	23	2043	gold	gold	*gúlθą	pgmc	*gúlθą	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2043-gold-gold.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
24	24	2046	grave	grafan	*grábaną	pgmc	*grábaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2046-grave-grafan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
25	25	2049	guest	ġiest	*gástiz	pgmc	*gástiz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2049-guest-ġiest.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
26	26	2051	hair	hǣr	*xḗrą	pgmc	*xḗrą	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2051-hair-hǣr.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
27	27	2057	harvest	hierfest	*xárbistuz	pgmc	*xárbistuz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2057-harvest-hierfest.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
28	28	2069	hedge	heġġ	*xágjaz	pgmc	*xágjaz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2069-hedge-heġġ.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
29	29	2070	helm	helm	*xélmaz	pgmc	*xélmaz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2070-helm-helm.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
30	30	2071	help	helpan	*xélpaną	pgmc	*xélpaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2071-help-helpan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
31	31	2075	hind	hind	*xéndjō	pgmc	*xéndjō	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2075-hind-hind.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
32	32	2077	hold	healdan	*xáldaną	pgmc	*xáldaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2077-hold-healdan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
33	33	2082	horn	horn	*xúrną	pgmc	*xúrną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2082-horn-horn.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
34	34	2093	lead	lǣdan	*láidijaną	pgmc	*láidijaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2093-lead-lǣdan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
35	35	2095	learn	liornian	*líznōjaną	pgmc	*líznōjaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2095-learn-liornian.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
36	36	2100	lid	hlid	*xlídą	pgmc	*xlídą	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2100-lid-hlid.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
37	37	2102	light	līehtan	*léuxtijaną	pgmc	*léuxtijaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2102-light-līehtan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
38	38	2104	linden	lind	*líndō	pgmc	*líndō	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2104-linden-lind.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
39	39	2126	milk	meoloc	*mélukz	pgmc	*mélukz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2126-milk-meoloc.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
40	40	2129	mother	mōder	*mōdēr	pgmc	*mōdēr	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2129-mother-mōder.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
41	41	2138	net	nett	*nátją	pgmc	*nátją	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2138-net-nett.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
42	42	2141	nightmare	mare	*márōn	pgmc	*márōn	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2141-nightmare-mare.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
43	43	2155	coat	rocc	*rúkkaz	pgmc	*rúkkaz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2155-coat-rocc.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
44	44	2179	sheep	sċēap	*skḗpą	pgmc	*skḗpą	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2179-sheep-sċēap.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
45	45	2181	shilling	sċilling	*skíllingaz	pgmc	*skíllingaz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2181-shilling-sċilling.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
46	46	2186	show	sċēawian	*skáwōjaną	pgmc	*skáwōjaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2186-show-sċēawian.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
47	47	2196	sleep	slǣpan	*slḗpaną	pgmc	*slḗpaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2196-sleep-slǣpan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
48	48	2198	smear	smierwan	*smérwijaną	pgmc	*smérwijaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2198-smear-smierwan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
49	49	2202	span	spannan	*spánnaną	pgmc	*spánnaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2202-span-spannan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
50	50	2204	spar	spearra	*spárrô	pgmc	*spárrô	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2204-spar-spearra.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
51	51	2217	still	stillan	*stéllijaną	pgmc	*stéllijaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2217-still-stillan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
52	52	2230	summer	sumer	*súmaraz	pgmc	*súmaraz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2230-summer-sumer.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
53	53	2232	sunder	sundrian	*súndrōjaną	pgmc	*súndrōjaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2232-sunder-sundrian.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
54	54	2234	swallow	swealwe	*swálwōn	pgmc	*swálwōn	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2234-swallow-swealwe.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
55	55	2238	swine	swīn	*swī́ną	pgmc	*swḯną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2238-swine-swīn.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
56	56	2248	think	þenċan	*θánkijaną	pgmc	*θánkijaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2248-think-þenċan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
57	57	2251	thorn	þorn	*θúrnaz	pgmc	*θúrnaz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2251-thorn-þorn.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
58	58	2257	tide	tīd	*tī́diz	pgmc	*tḯdiz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2257-tide-tīd.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
59	59	2260	token	tācn	*táikną	pgmc	*táikną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2260-token-tācn.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
60	60	2263	town	tūn	*tūną	pgmc	*tūną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2263-town-tūn.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
61	61	2266	wade	wadan	*wádaną	pgmc	*wádaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2266-wade-wadan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
62	62	2270	warp	weorpan	*wérpaną	pgmc	*wérpaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2270-warp-weorpan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
63	63	2272	wash	wascan	*wáskaną	pgmc	*wáskaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2272-wash-wascan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
64	64	2276	wax	weaxan	*wáxsaną	pgmc	*wáxsaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2276-wax-weaxan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
65	65	2277	way	weġ	*wégaz	pgmc	*wégaz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2277-way-weġ.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
66	66	2278	weapon	wǣpn	*wḗpną	pgmc	*wḗpną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2278-weapon-wǣpn.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
67	67	2293	will	willa	*wéljô	pgmc	*wéljô	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2293-will-willa.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
68	68	2294	wind	windan	*wíndaną	pgmc	*wíndaną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2294-wind-windan.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
69	69	2297	wold	weald	*wálθuz	pgmc	*wálθuz	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2297-wold-weald.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
70	70	2305	yarn	ġearn	*gárną	pgmc	*gárną	pgmc	regular	regular	Regular derivations	Germanic/docs/lexeme_reports/model_entries/2305-yarn-ġearn.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
71	1	1983	cud	cwedu	*kwíθuz	pgmc	*kwéðuz	pgmc	attested_variant	attested_variant	Attested variants and selected comparison forms	Germanic/docs/lexeme_reports/model_entries/1983-cud-cwedu.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
72	2	2242	ten	tēon	*téxun	pgmc	*téxun	pgmc	attested_variant	attested_variant	Attested variants and selected comparison forms	Germanic/docs/lexeme_reports/model_entries/2242-ten-tēon.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
73	3	2254	three	þrīe	*θréjez	pgmc	*θréjez	pgmc	attested_variant	attested_variant	Attested variants and selected comparison forms	Germanic/docs/lexeme_reports/model_entries/2254-three-þrīe.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
74	4	2273	wasp	wæfs	*wábsaz	pgmc	*wábsaz	pgmc	attested_variant	attested_variant	Attested variants and selected comparison forms	Germanic/docs/lexeme_reports/model_entries/2273-wasp-wæfs.model.md	confident	lexical item + PROTOFORM + PROTO + EXPECTED + OUTPUTS	
75	1	1959	bottom	botm	*búdmaz	pgmc	*búttmaz	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/1959-bottom-botm.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
76	2	1965	brand	brandes	*brándaz	pgmc	*brándas	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/1965-brand-brandes.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
77	3	1968	breast	brēost	*brústz	pgmc	*bréustą	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/1968-breast-brēost.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
78	4	1981	craft	cræft	*kráftiz	pgmc	*kráftaz	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/1981-craft-cræft.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
79	5	1990	dill	dile	*déljaz	pgmc	*déliz	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/1990-dill-dile.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
80	6	2004	fast	festan	*fastēną	pgmc	*fástijaną	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2004-fast-festan.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
81	7	2016	flask	flasce	*flaskō	pgmc	*fláskōn	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2016-flask-flasce.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
82	8	2027	follow	fylġan	*fulgēną	pgmc	*fúlgijaną	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2027-follow-fylġan.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
83	9	2037	gall	ġealla	*gállą	pgmc	*gállô	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2037-gall-ġealla.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
84	10	2068	heaven	heofon	*xémenaz	pgmc	*xébun	pwgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2068-heaven-heofon.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
85	11	2086	knight	cniht	*kníxtaz	pgmc	*knéxtaz	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2086-knight-cniht.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
86	12	2088	lade	hladan	*laθōjaną	pgmc	*xláðaną	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2088-lade-hladan.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
87	13	2090	lap	lappa	*lábbaz	pgmc	*láppô	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2090-lap-lappa.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
88	14	2092	laugh	hliehhan	*lákaną	pgmc	*xláxjaną	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2092-laugh-hliehhan.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
89	15	2109	loam	lām	*laimōn	pgmc	*láimą	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2109-loam-lām.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
90	16	2114	lung	lungen	*lungō	pgmc	*lúnganjō	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2114-lung-lungen.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
91	17	2133	navel	nafola	*nablô	pgmc	*nábulô	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2133-navel-nafola.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
92	18	2134	neck	hnecca	*xnákkaz	pgmc	*xnékkô	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2134-neck-hnecca.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
93	19	2136	needle	nǣdl	*nḗθlō	pgmc	*nḗðlō	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2136-needle-nǣdl.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
94	20	2143	nose	nosu	*nasō	pgmc	*núsō	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2143-nose-nosu.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
95	21	2168	sap	sæp	*sapōn	pgmc	*sápą	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2168-sap-sæp.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
96	22	2169	sea	sǣ	*sái	pgmc	*sáiwiz	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2169-sea-sǣ.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
97	23	2189	sieve	sife	*síbaz	pgmc	*síbi	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2189-sieve-sife.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
98	24	2205	spare	sparian	*sparēną	pgmc	*spárōjaną	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2205-spare-sparian.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
99	25	2212	staff	stæf	*stábiz	pgmc	*stábaz	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2212-staff-stæf.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
100	26	2216	stem	stefn	*stámnaz	pgmc	*stámniz	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2216-stem-stefn.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
101	27	2235	swan	swanes	*swánaz	pgmc	*swánas	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2235-swan-swanes.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
102	28	2252	thousand	þūsend	*θūs-undī	pgmc	*θūs-èndi	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2252-thousand-þūsend.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
103	29	2258	timber	timber	*tímrą	pgmc	*tímbrą	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2258-timber-timber.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
104	30	2268	wake	wacan	*wakēną	pgmc	*wákaną	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2268-wake-wacan.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
105	31	2274	water	wæter	*wátną	pgmc	*wátōr	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2274-water-wæter.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
106	32	2284	whale	hwæl	*wálaz	pgmc	*xwálaz	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2284-whale-hwæl.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
107	33	2286	whine	hwīnan	*wainōjaną	pgmc	*xwḯnaną	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2286-whine-hwīnan.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
108	34	2296	withy	wīþiġ	*wáiθiz	pgmc	*wḯθagą	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2296-withy-wīþiġ.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
109	35	2302	world	weorold	*wíra-àldiz	pgmc	*wír-àldu	pgmc	early_analogy	early_analogy	Early analogy and pre-Old-English input selection	Germanic/docs/lexeme_reports/model_entries/2302-world-weorold.model.md	confident	lexical item + PROTOFORM + EXPECTED + OUTPUTS	
